interaction,result,free_energy,TP,FP,FN,TN,TPR,PPV,MCC
1,73,-388.45,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,74,-388.43,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,75,-388.43,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,76,-388.43,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,77,-388.43,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,78,-388.43,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,79,-388.43,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,80,-388.37,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,81,-388.37,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,82,-388.37,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,83,-388.37,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,84,-388.37,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,85,-388.37,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,86,-388.37,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,87,-388.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,88,-388.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,89,-388.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,90,-388.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,91,-388.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,92,-388.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,93,-388.3,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,94,-388.29,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,95,-388.29,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,96,-388.24,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,97,-388.23,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,98,-388.16,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,99,-388.16,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,100,-388.16,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,101,-388,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,102,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,103,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,104,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,105,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,106,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,107,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,108,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,109,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,110,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,111,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,112,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,113,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,114,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,115,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,116,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,117,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,118,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,119,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,120,-387.91,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,121,-387.88,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,122,-387.88,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,123,-387.88,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,124,-387.88,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,125,-387.88,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,126,-387.88,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,127,-387.88,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,128,-387.88,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,129,-387.88,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,130,-387.88,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,131,-387.88,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,132,-387.88,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,133,-387.8,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,134,-387.8,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,135,-387.8,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,136,-387.8,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
